ms,Degrees
528,362
529,363
530,363
531,364
532,364
533,365
534,365
535,366
536,366
537,367
538,367
539,368
540,368
541,368
542,369
543,369
544,370
545,370
546,370
547,371
548,371
549,372
550,372
551,372
552,373
553,373
554,373
555,374
556,374
557,374
558,375
559,375
560,375.5
561,376
562,376
563,376
564,377
565,377
566,377
567,378
568,378
569,378
570,378
571,379
572,379
573,379
574,379
575,380
576,380
577,380
578,380
579,380
580,381
581,381
582,381
583,381
584,381.5
585,382
586,382
587,382
588,382
589,382
590,383
591,383
592,383
593,383
594,383
595,383
596,384
597,384
598,384
599,384
600,384
601,384
602,384
603,384
604,384.5
605,385
606,385
607,385
608,385
609,385
610,385
611,385
612,385
613,385
614,385.5
615,386
616,386
617,386
618,386
619,386
620,386
621,386
622,386
623,386
624,386
625,386
626,386
627,386
628,386
629,386
630,386
631,386
632,386
633,387
634,387
635,387
636,387
637,387
638,387
639,387
640,387
641,387
642,387
643,387
644,387
645,387
646,387
647,387
648,387
649,387
650,387
651,387
652,387
653,387
654,387
655,387
656,387
657,387
658,387
659,387
660,387
661,387
662,387
663,387
664,387
665,387
666,387
667,387
668,387
669,387
670,387
671,387
672,387
673,387
674,387
675,387
676,387
677,387
678,387
679,387
680,387
681,387
682,387
683,387
684,387
685,387
686,387
687,387
688,387
689,387
690,387
691,387
692,387
693,387
694,387
695,387
696,387
697,387
698,387
699,387
700,387
701,387
702,387
703,387
704,387
705,387
706,387
707,387
708,387
709,387
710,387
711,387
712,387
713,387
714,387
715,387
716,387
717,387
718,387
719,387
720,387
721,387
722,387
723,387
724,387
725,387
726,387
727,387
728,387
729,387
730,387
731,387
732,387
733,387
734,387
735,387
736,387
737,387
738,387
739,387
740,387
741,387
742,387
743,387
744,387
745,387
746,387
747,387
748,387
749,387
